Crop,Soil Type,pH,Nitrogen (N) ppm,Potassium (K) ppm,Phosphorus (P) ppm,Season,Duration (Months)
Rice,Alluvial Soil,6.25,100,60,22.5,Summer Season,5
Rice,Alluvial Soil,6.3,105,62,23,Monsoon Season,5
Rice,Alluvial Soil,6.1,98,58,21,Winter Season,5
Rice,Alluvial Soil,6.4,102,65,24,Autumn Season,5
Rice,Alluvial Soil,6.2,97,63,22.5,Monsoon Season,5
Rice,Black Soil,6.75,125,70,27.5,Monsoon Season,5
Rice,Black Soil,6.8,130,72,28,Winter Season,5
Rice,Black Soil,6.7,120,68,26,Autumn Season,5
Rice,Black Soil,6.85,128,75,29,Summer Season,5
Rice,Black Soil,6.75,123,71,27.5,Monsoon Season,5
Rice,Laterite Soil,5.5,80,50,17.5,Winter Season,6
Rice,Laterite Soil,5.6,85,52,18,Summer Season,6
Rice,Laterite Soil,5.4,78,48,17,Monsoon Season,6
Rice,Laterite Soil,5.7,82,55,19,Autumn Season,6
Rice,Laterite Soil,5.55,79,51,17.8,Winter Season,6
Rice,Mountainous Soil,5.9,90,55,20,Autumn Season,7
Rice,Mountainous Soil,5.85,88,53,19.5,Summer Season,7
Rice,Mountainous Soil,6,95,58,21,Monsoon Season,7
Rice,Mountainous Soil,5.95,92,57,20.5,Winter Season,7
Rice,Mountainous Soil,5.92,91,56,20.2,Autumn Season,7
Rice,Marsh Soil,5.95,95,58,25,Monsoon Season,5
Rice,Marsh Soil,6,98,60,26,Winter Season,5
Rice,Marsh Soil,5.9,93,56,24,Autumn Season,5
Rice,Marsh Soil,5.98,97,59,25.5,Summer Season,5
Rice,Marsh Soil,5.96,96,58.5,25.2,Monsoon Season,5
Wheat,Alluvial Soil,6.25,45,30,22.5,Winter Season,6
Wheat,Alluvial Soil,6.3,47,31,23,Monsoon Season,6
Wheat,Alluvial Soil,6.2,43,29,22,Autumn Season,6
Wheat,Alluvial Soil,6.4,46,32,23.5,Summer Season,6
Wheat,Alluvial Soil,6.22,44,30.5,22.7,Winter Season,6
Wheat,Black Soil,7,52.5,35,27.5,Monsoon Season,5
Wheat,Black Soil,7.1,54,36,28,Winter Season,5
Wheat,Black Soil,6.9,51,34,27,Autumn Season,5
Wheat,Black Soil,7.05,53,35.5,27.8,Summer Season,5
Wheat,Black Soil,6.95,52,34.5,27.3,Monsoon Season,5
Wheat,Laterite Soil,6.25,37.5,25,17.5,Autumn Season,7
Wheat,Laterite Soil,6.3,39,26,18,Summer Season,7
Wheat,Laterite Soil,6.2,36,24,17,Monsoon Season,7
Wheat,Laterite Soil,6.4,38,27,18.5,Winter Season,7
Wheat,Laterite Soil,6.27,37,25.5,17.7,Autumn Season,7
Wheat,Arid Soil,7.5,30,28,25,Summer Season,4
Wheat,Arid Soil,7.6,32,29,26,Winter Season,4
Wheat,Arid Soil,7.4,28,27,24,Autumn Season,4
Wheat,Arid Soil,7.55,31,29.5,25.5,Monsoon Season,4
Wheat,Arid Soil,7.45,29,28.5,24.8,Summer Season,4
Wheat,Red Soil,6.5,42,32,20,Winter Season,6
Wheat,Red Soil,6.55,43,33,20.5,Monsoon Season,6
Wheat,Red Soil,6.45,41,31,19.5,Autumn Season,6
Wheat,Red Soil,6.6,44,34,21,Summer Season,6
Wheat,Red Soil,6.52,42.5,32.5,20.2,Winter Season,6
Cotton,Alluvial Soil,6.25,45,30,22.5,Summer Season,6
