Crop,Soil Type,pH Loss,Nitrogen Loss (ppm),Phosphorus Loss (ppm),Potassium Loss (ppm),Duration (Months)
Rice,Alluvial Soil,0.2,8,4,10,5
Rice,Black Soil,0.3,10,5,12,5
Rice,Laterite Soil,0.1,6,3,8,5
Rice,Mountainous Soil,0.4,12,6,14,5
Citrus Fruits,Black Soil,0.3,10,5,12,5
Sunflower,Black Soil,0.2,8,4,10,5
Linseed,Black Soil,0.3,10,5,12,5
Bananas,Red Soil,0.4,12,6,14,5
Pineapples,Red Soil,0.3,10,5,12,5
Avocados,Red Soil,0.2,8,4,10,5
Carrots,Red Soil,0.3,10,5,12,6
Carrots,Mountainous Soil,0.5,15,7,17,6
Potatoes,Red Soil,0.3,12,6,14,6
Potatoes,Marsh Soil,0.4,15,7,17,6
Beans,Red Soil,0.2,8,4,10,6
Corn,Red Soil,0.3,10,5,12,7
Corn,Mountainous Soil,0.5,18,9,20,7
Tea,Laterite Soil,0.2,8,4,10,7
Tea,Mountainous Soil,0.3,10,5,12,7
Coffee,Laterite Soil,0.4,12,6,14,7
Coffee,Mountainous Soil,0.2,8,4,10,5
Rice,Alluvial Soil,0.2,8,4,10,5
Rice,Black Soil,0.3,10,5,12,5
Rice,Laterite Soil,0.1,6,3,8,5
Rice,Mountainous Soil,0.4,12,6,14,5
Rice,Marsh Soil,0.2,8,4,10,6
Wheat,Alluvial Soil,0.3,9,5,11,6
Wheat,Black Soil,0.2,8,4,10,6
Wheat,Laterite Soil,0.4,12,6,14,6
Millets,Black Soil,0.4,12,6,14,6
Sugarcane,Black Soil,0.3,10,5,12,5
Sugarcane,Red Soil,0.2,8,4,10,5
Sugarcane,Alluvial Soil,0.4,12,6,14,5
Jawar,Black Soil,0.4,12,6,14,5
Citrus Fruits,Black Soil,0.3,10,5,12,5
Sunflower,Black Soil,0.2,8,4,10,7
Linseed,Black Soil,0.3,10,5,12,7
Bananas,Red Soil,0.4,12,6,14,7
Pineapples,Red Soil,0.3,10,5,12,7
Avocados,Red Soil,0.2,8,4,10,7
Carrots,Red Soil,0.3,10,5,12,4
Carrots,Mountainous Soil,0.5,15,7,17,4
Potatoes,Red Soil,0.3,12,6,14,4
Potatoes,Marsh Soil,0.4,15,7,17,4
Beans,Red Soil,0.2,8,4,10,4
Corn,Red Soil,0.3,10,5,12,6
Corn,Mountainous Soil,0.5,18,9,20,6
Tea,Laterite Soil,0.2,8,4,10,6
Tea,Mountainous Soil,0.3,10,5,12,6
Coffee,Laterite Soil,0.4,12,6,14,6
Coffee,Mountainous Soil,0.2,8,4,10,6
Rice,Alluvial Soil,0.2,8,4,10,6
Rice,Black Soil,0.3,10,5,12,6
Rice,Laterite Soil,0.1,6,3,8,6
